weqn1v1 ; n1,numint,nint,knn,s:       5  5       100 20   0.0000000               1
weqn1v1 ; n1,numint,nint,knn,s:       5  5       100 20   0.5500000              12
   1    0.99555584    0.00121915   -0.37029190
   2    0.99125276    0.00239960   -0.37029190
   3    2.98656000    0.00368695   -0.37029190
   4    8.92065024    0.02176775   -0.37029190
   5   26.64860830    0.09639610   -0.37029190
   6   79.61667849    0.37948193   -0.37029190
   7    2.97365416    0.00722737   -0.37029190
   8    2.96115800    0.01065539   -0.37029190
   9    0.99987760    0.00002152   -0.26233316
  10    0.04195699    0.00732038   -0.24935360
  11   -0.00159504    0.00028675    0.48535878
  12    0.00405884    0.00134012    0.68078209
  13    0.00036691    0.00006402   -0.24935360
  14    0.00072217    0.00012600   -0.24935360
  15    0.00000855    0.00000154    0.46814988
